sp_5	sp_6_1	sp_6_2	Em1glen	Em2glen	Em3glen	9_1_1	9_6	MdEm1	MdEm2	MdEm3	8_6	8_7
TRINITY_DN13547_c7_g1	2.38708677001591	3.31077635355633	2.51475349843975	4.91332028448548	5.61600474407973	5.66635894396678	5.02094661351356	4.41731245777758	4.68700468201054	4.71808758396052	4.71358584914028	6.00497322466311	4.69532574408157
TRINITY_DN15946_c0_g1	0	0	0	1.59884157813329	0.358396261956654	0.937344392150232	2.08065766334523	1.82537860389293	1.20914139783859	0.979659551715824	1.61917821605907	0	0
TRINITY_DN11756_c1_g1	4.45962833636697	4.92081730165144	4.17368712896174	0	0	0	0	0	2.22496636500027	0	1.52506659207821	0	0
TRINITY_DN19506_c0_g1	1.48284828306847	1.1807843910787	1.02927618237063	3.26438629883375	3.35346444815542	3.08099868569426	3.32653734813995	3.69777381955519	2.91876784932515	2.94747914596667	2.81188199621867	4.78235614046323	3.91886323727459
TRINITY_DN6704_c0_g1	3.37295209791183	2.30655389949654	3.36148765214307	0.529071299829111	1.68840418839746	0	0	0	0	0	0.618238655595455	0	0
TRINITY_DN21190_c3_g2	6.77801140161257	5.65558080965278	5.98761646987269	6.78657022587434	6.76184373081799	6.96690338186024	7.54153032691449	7.54744211714593	6.04231601689711	6.36162801260831	6.32427057158154	1.73422186622078	0.683471892855227
TRINITY_DN12701_c0_g1	1.15769051358205	0.903809558578697	0	0	0.215367972203479	0.212880566344385	0	0	8.39575689522629	9.1402648495473	8.51719694133091	0	0
TRINITY_DN14986_c0_g1	1.14925936549962	1.44837239461205	1.47404659931931	0.787432464516868	0.667210912480871	0.552868871011303	1.71061360238268	0.720716242521132	3.45890690685087	2.80962023484189	3.38211385993393	0.794935662803536	0
TRINITY_DN14418_c0_g1	0.32883646422954	0.244887059123534	0.806530289259566	3.09288396567848	2.98950236086238	2.38432615868584	1.13290581201151	0.489542935642474	0.348232419239271	0.331131922217202	0.155749232677945	2.98367769469807	2.20037879798403
TRINITY_DN12272_c0_g2	1.82863158168802	2.20288783347014	2.66607484262069	0.283329168051641	0.292781749227846	0.280956313831056	0	0	0.335711910320462	0	1.50792146495733	3.7477096335909	0
TRINITY_DN2705_c0_g1	8.06281788782576	9.58601971392279	9.51683462731021	0	0	0	0	0	0.889862881365179	0.471967787661516	3.22758706515941	2.69198075060328	0
TRINITY_DN26244_c0_g1	1.48284828306847	2.74760223027494	1.94673086014031	0	1.52807116457874	0	0	0	0.348232419239271	0.175045486110914	0.185232254230161	0	0
TRINITY_DN15764_c0_g1	10.4757466015773	11.0963481757919	10.6586113823836	5.03298241669943	4.0703893278914	4.08966763043294	5.49236596339547	2.92467000816975	3.3912178076029	3.87164654555923	5.76889887744554	1.32365829102624	1.1196881745192
TRINITY_DN21687_c0_g1	7.26720804584708	6.85517994681633	7.3517873164159	9.90052420268627	10.0934360518947	10.5545121105387	11.6495543875126	11.6651671190978	10.2806072399619	10.5049123179476	10.1551078844786	7.95203064316876	9.91160919971621
TRINITY_DN16684_c0_g1	9.36759603234506	9.77704485543695	9.31178009707907	0	0.321928094887362	0	0	0	2.17664191765689	1.7311832415722	4.36162801260831	0	1.47767732756531
TRINITY_DN16735_c0_g1	6.44141708008702	6.29482289581733	5.82148063072554	0.486456955768731	1.1940870521163	0.804879608254672	0.793271654498083	0.699551632523089	1.30158764660319	0.757876659747896	2.81434533496322	0	0
